"","Country","Freq","Numbers_in_log"
"1","Andorra",1,0
"2","Argentina",108,2.03342375548695
"3","Aruba",3,0.477121254719662
"4","Australia",22,1.34242268082221
"5","Austria",18,1.25527250510331
"6","Azerbaijan",4,0.602059991327962
"7","Bahamas",10,1
"8","Bahrain",21,1.32221929473392
"9","Belgium",19,1.27875360095283
"10","Bolivia",4,0.602059991327962
"11","Brazil",102,2.00860017176192
"12","Brunei",5,0.698970004336019
"13","Bulgaria",5,0.698970004336019
"14","Cambodia",4,0.602059991327962
"15","Canada",1468,3.16672605558005
"16","Chile",96,1.98227123303957
"17","China",2734,3.4367985102318
"18","Colombia",11,1.04139268515823
"19","Costa Rica",11,1.04139268515823
"20","Curacao",3,0.477121254719662
"21","Cyprus",10,1
"22","Czech Republic",28,1.44715803134222
"23","Denmark",21,1.32221929473392
"24","Egypt",31,1.49136169383427
"25","El Salvador",11,1.04139268515823
"26","Finland",8,0.903089986991944
"27","France",132,2.12057393120585
"28","Germany",160,2.20411998265592
"29","Greece",28,1.44715803134222
"30","Guatemala",7,0.845098040014257
"31","Hungary",16,1.20411998265592
"32","India",88,1.94448267215017
"33","Indonesia",268,2.42813479402879
"34","Ireland",73,1.86332286012046
"35","Japan",1237,3.09236969962912
"36","Jordan",17,1.23044892137827
"37","Kazakhstan",8,0.903089986991944
"38","Korea",992,2.99651167215418
"39","Kuwait",106,2.02530586526477
"40","Lebanon",29,1.46239799789896
"41","Luxembourg",2,0.301029995663981
"42","Malaysia",233,2.36735592102602
"43","Mexico",579,2.76267856372744
"44","Monaco",2,0.301029995663981
"45","Morocco",9,0.954242509439325
"46","Netherlands",59,1.77085201164214
"47","New Zealand",24,1.38021124171161
"48","Norway",17,1.23044892137827
"49","Oman",12,1.07918124604762
"50","Panama",5,0.698970004336019
"51","Peru",89,1.94939000664491
"52","Philippines",298,2.47421626407626
"53","Poland",53,1.72427586960079
"54","Portugal",11,1.04139268515823
"55","Puerto Rico",24,1.38021124171161
"56","Qatar",18,1.25527250510331
"57","Romania",27,1.43136376415899
"58","Russia",109,2.03742649794062
"59","Saudi Arabia",102,2.00860017176192
"60","Singapore",130,2.11394335230684
"61","Slovakia",3,0.477121254719662
"62","South Africa",3,0.477121254719662
"63","Spain",101,2.00432137378264
"64","Sweden",18,1.25527250510331
"65","Switzerland",61,1.78532983501077
"66","Taiwan",394,2.59549622182557
"67","Thailand",289,2.46089784275655
"68","Trinidad & Tobago",3,0.477121254719662
"69","Turkey",326,2.51321760006794
"70","UAE",144,2.15836249209525
"71","UK",901,2.95472479097906
"72","USA",13608,4.13379430060451
"73","Vietnam",25,1.39794000867204
